,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,B8CKK03,Mondelez International Inc,MDLZ,0.13%,Packaged Foods & Meats,US,---,"$1,921,869,783.57 ","32,869,331"
,BLP1HW5,Aon PLC,AON,0.13%,Insurance Brokers,US,---,"$1,914,551,369.56 ","5,475,779"
,2730190,Regeneron Pharmaceuticals Inc,REGN,0.13%,Biotechnology,US,---,"$1,903,786,316.85 ","2,567,653"
,2640147,NIKE Inc,NKE,0.12%,Footwear,US,---,"$1,872,672,960.69 ","30,297,249"
,BHJ0775,Cigna Group/The,CI,0.12%,Health Care Services,US,---,"$1,865,460,813.09 ","6,805,519"
,BY7QL61,Johnson Controls International plc,JCI,0.12%,Building Products,US,---,"$1,856,801,158.04 ","15,569,354"
,2209106,Colgate-Palmolive Co,CL,0.12%,Household Products,US,---,"$1,853,979,827.48 ","20,533,612"
,2779201,SLB Ltd,SLB,0.12%,Oil & Gas Equipment & Services,US,---,"$1,841,389,728.60 ","38,060,970"
,2304227,Ecolab Inc,ECL,0.12%,Specialty Chemicals,US,---,"$1,831,226,422.59 ","6,493,941"
,2150204,Quanta Services Inc,PWR,0.12%,Construction & Engineering,US,---,"$1,803,146,423.91 ","3,799,057"
,2160753,CSX Corp,CSX,0.12%,Rail Transportation,US,---,"$1,791,206,393.60 ","47,436,610"
,2210614,Marriott International Inc/MD,MAR,0.12%,"Hotels, Resorts & Cruise Lines",US,---,"$1,789,418,621.70 ","5,675,289"
,2142784,FedEx Corp,FDX,0.12%,Air Freight & Logistics,US,---,"$1,781,704,782.00 ","5,528,952"
,2795393,Cencora Inc,COR,0.12%,Health Care Distributors,US,---,"$1,774,363,238.58 ","4,939,489"
,BYVMW06,Hilton Worldwide Holdings Inc,HLT,0.12%,"Hotels, Resorts & Cruise Lines",US,---,"$1,767,553,830.05 ","5,921,255"
,2457552,Illinois Tool Works Inc,ITW,0.12%,Industrial Machinery & Supplies & Components,US,---,"$1,757,165,003.58 ","6,725,733"
,BM8JYX3,Warner Bros Discovery Inc,WBD,0.11%,Movies & Entertainment,US,---,"$1,738,572,770.16 ","63,129,004"
,B5BKPQ4,Motorola Solutions Inc,MSI,0.11%,Communications Equipment,US,---,"$1,708,076,647.38 ","4,243,247"
,BKP7287,Truist Financial Corp,TFC,0.11%,Regional Banks,US,---,"$1,675,914,885.72 ","32,592,666"
,BRC3N84,TE Connectivity PLC,TEL,0.11%,Electronic Manufacturing Services,US,---,"$1,669,752,585.72 ","7,495,074"
,2197137,Cintas Corp,CTAS,0.11%,Diversified Support Services,US,---,"$1,665,578,173.65 ","8,702,535"
,2641894,Norfolk Southern Corp,NSC,0.11%,Rail Transportation,US,---,"$1,664,465,432.76 ","5,715,099"
,2665861,PACCAR Inc,PCAR,0.11%,Construction Machinery & Heavy Transportation Equipment,US,---,"$1,644,620,239.17 ","13,380,687"
,BK9DTN5,L3Harris Technologies Inc,LHX,0.11%,Aerospace & Defense,US,---,"$1,633,901,045.40 ","4,765,644"
,2026242,American Electric Power Co Inc,AEP,0.11%,Electric Utilities,US,---,"$1,633,361,613.90 ","13,636,916"
,2359506,Arthur J Gallagher & Co,AJG,0.11%,Insurance Brokers,US,---,"$1,631,525,418.93 ","6,542,589"
,2769503,Travelers Cos Inc/The,TRV,0.11%,Property & Casualty Insurance,US,---,"$1,616,860,941.17 ","5,682,967"
,BN44JF6,Apollo Global Management Inc,APO,0.11%,Diversified Financial Services,US,---,"$1,591,486,575.84 ","11,829,096"
,2812452,Simon Property Group Inc,SPG,0.11%,Retail REITs,US,---,"$1,591,181,897.76 ","8,317,296"
,2065955,AutoZone Inc,AZO,0.10%,Automotive Retail,US,---,"$1,567,022,094.41 ","423,029"
,2746711,Ross Stores Inc,ROST,0.10%,Apparel Retail,US,---,"$1,563,148,051.85 ","8,285,969"
,2318024,EOG Resources Inc,EOG,0.10%,Oil & Gas Exploration & Production,US,---,"$1,550,323,396.25 ","13,826,125"
,2011602,Air Products and Chemicals Inc,APD,0.10%,Industrial Gases,US,---,"$1,545,063,555.00 ","5,669,958"
,B3NQ4P8,Kinder Morgan Inc,KMI,0.10%,Oil & Gas Storage & Transportation,US,---,"$1,520,752,535.08 ","49,877,092"
,2087807,Becton Dickinson & Co,BDX,0.10%,Health Care Equipment,US,---,"$1,485,908,630.40 ","7,302,480"
,B78C4Y8,Phillips 66,PSX,0.10%,Oil & Gas Refining & Marketing,US,---,"$1,473,313,786.24 ","10,262,704"
,BZ07BW4,Monster Beverage Corp,MNST,0.10%,Soft Drinks & Non-alcoholic Beverages,US,---,"$1,467,240,007.80 ","18,167,905"
,B505PN7,NXP Semiconductors NV,NXPI,0.10%,Semiconductors,US,---,"$1,449,956,537.10 ","6,411,765"
,2138158,Sempra,SRE,0.10%,Multi-Utilities,US,---,"$1,446,623,648.47 ","16,625,947"
,BYQHPG3,Carvana Co,CVNA,0.10%,Automotive Retail,US,---,"$1,445,201,335.55 ","3,603,005"
,2724193,Realty Income Corp,O,0.09%,Retail REITs,US,---,"$1,433,559,453.04 ","23,439,494"
,2041364,Valero Energy Corp,VLO,0.09%,Oil & Gas Refining & Marketing,US,---,"$1,409,926,457.41 ","7,771,187"
,BDHLTQ5,Baker Hughes Co,BKR,0.09%,Oil & Gas Equipment & Services,US,---,"$1,408,853,781.84 ","25,140,146"
,BMGYYH4,Airbnb Inc,ABNB,0.09%,"Hotels, Resorts & Cruise Lines",US,---,"$1,401,426,916.48 ","10,832,704"
,B95WG16,Zoetis Inc,ZTS,0.09%,Pharmaceuticals,US,---,"$1,401,110,616.18 ","11,225,049"
,2615468,Ford Motor Co,F,0.09%,Automobile Manufacturers,US,---,"$1,383,892,574.88 ","99,704,076"
,B01Z7J1,Monolithic Power Systems Inc,MPWR,0.09%,Semiconductors,US,---,"$1,372,587,150.00 ","1,221,000"
,2065159,Autodesk Inc,ADSK,0.09%,Application Software,US,---,"$1,372,013,701.29 ","5,425,767"
,B03GQS4,Digital Realty Trust Inc,DLR,0.09%,Data Center REITs,US,---,"$1,365,020,729.30 ","8,225,494"
,2459202,IDEXX Laboratories Inc,IDXX,0.09%,Health Care Equipment,US,---,"$1,363,281,181.92 ","2,033,352"
,B3K3L40,Marathon Petroleum Corp,MPC,0.09%,Oil & Gas Refining & Marketing,US,---,"$1,349,500,347.93 ","7,659,347"
,2026361,Aflac Inc,AFL,0.09%,Life & Health Insurance,US,---,"$1,333,489,965.15 ","12,018,837"
